ZIP Code,School ID,Safety Score,Environment Score,Instruction Score,Rate of Misconducts (per 100 students) ,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,College Enrollment (number of students) ,General Services Route ,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Ward,Police District
60649,610069.6666666666,33.75,49.5,53.25,46.38333333333333,7.539999999999999,7.720000000000001,0.21999999999999997,0.15999999999999995,622.1666666666666,46.0,150000000000000.0,1192262.2246666665,1856599.4506666667,41.76148897666667,-87.57089918999999,43.0,6.166666666666667,3.5
60651,610051.0909090909,33.1,40.5,47.5,41.81818181818182,8.872727272727273,6.245454545454546,-0.41818181818181815,-0.24545454545454543,661.0909090909091,34.90909090909091,150000000000000.0,1146115.281909091,1907914.2783636362,41.90330080363637,-87.73873059181818,23.90909090909091,32.54545454545455,19.0
60652,610019.5,45.0,36.125,36.125,24.6,18.300000000000004,14.62857142857143,-0.0142857142857143,0.1285714285714286,810.375,43.875,150000000000000.0,1152982.590875,1850348.5703750001,41.7452005775,-87.71502742624999,70.0,17.375,8.0
60653,610037.9090909091,35.0,38.0,44.42857142857143,40.61818181818182,9.350000000000001,5.7125,-0.3428571428571428,-0.8428571428571427,388.3636363636364,40.18181818181818,150000000000000.0,1181154.2327272727,1877502.658,41.81911239636363,-87.61096695636364,37.0,3.3636363636363638,2.0
60655,609927.8,86.5,62.25,50.75,5.36,52.4,52.0,0.3,0.6,459.0,49.0,150000000000000.0,1156696.9264,1830966.7509999997,41.691939497999996,-87.70193829,74.2,19.0,22.0
60656,609999.75,67.66666666666667,50.0,41.0,3.8,47.43333333333333,37.9,0.1666666666666667,-0.03333333333333333,578.5,30.0,150000000000000.0,1126624.8635,1933792.83525,41.9746630725,-87.80974435499999,26.5,41.0,16.0
60657,609939.0,74.5,52.666666666666664,48.333333333333336,12.033333333333333,38.78333333333333,37.61666666666667,0.7333333333333334,0.6666666666666666,517.3333333333334,33.0,150000000000000.0,1166765.0241666667,1921470.3196666667,41.940082698333335,-87.66249060833333,5.833333333333333,38.0,19.0
60659,609951.8333333334,70.66666666666667,60.0,50.666666666666664,6.416666666666667,42.275000000000006,33.25,0.45,0.4,819.0,31.666666666666668,150000000000000.0,1154947.8384999998,1939396.5314999998,41.989518518333334,-87.70543941999999,5.666666666666667,43.0,20.333333333333332
60660,610082.8,60.6,51.0,42.0,24.82,26.5,19.96666666666667,-0.8000000000000002,-0.06666666666666661,832.4,32.0,150000000000000.0,1166038.4804,1939309.8185999996,41.98905098600001,-87.66464918599999,77.0,46.4,20.8
60707,610158.0,68.0,41.0,50.0,2.6,19.6,17.3,-0.5,0.0,605.0,29.0,150000000000000.0,1129750.187,1911749.959,41.9141236,-87.79875667,25.0,36.0,25.0
60827,610019.0,37.0,34.0,37.0,37.699999999999996,8.333333333333334,6.733333333333333,-0.6333333333333333,-0.3333333333333333,338.3333333333333,48.0,150000000000000.0,1182798.112,1817695.0756666667,41.65495569333333,-87.60678820666668,54.0,9.0,5.0
